Assignment_ID;Status;Time_Stamp
AID_20251219T115215649936Z_P25XPQTBSZEZ;OPEN;19-12-2025 11:52
AID_20251219T115215665393Z_Y4UBJ7IEAJE6;OPEN;19-12-2025 11:52
AID_20251219T115215682990Z_VWKPSYLVRVF5;OPEN;19-12-2025 11:52
AID_20251219T115215701291Z_HSAF3UA5NNAI;OPEN;19-12-2025 11:52
AID_20251219T115215718747Z_3WEXE2Z42BEH;OPEN;19-12-2025 11:52
AID_20251219T115215736505Z_KUKGEUKYUNDV;OPEN;19-12-2025 11:52
AID_20251219T115215753542Z_774DNFMASFF4;OPEN;19-12-2025 11:52
AID_20251219T115215771922Z_VFKSJDYZ4NAX;OPEN;19-12-2025 11:52
AID_20251219T115215787635Z_TLX5Y537JRCV;OPEN;19-12-2025 11:52
AID_20251219T115215805027Z_QUATSC4ULJHQ;OPEN;19-12-2025 11:52
AID_20251219T115215823321Z_MIZC37V3MBAU;OPEN;19-12-2025 11:52
AID_20251219T115215840224Z_ZYN73ABNWNB4;OPEN;19-12-2025 11:52
AID_20251219T115215859832Z_EFR6SSZ3EVGM;OPEN;19-12-2025 11:52
AID_20251219T115215877462Z_EU6X23YBBZEL;OPEN;19-12-2025 11:52
AID_20251219T115215897416Z_IV3OUWRIRRCB;OPEN;19-12-2025 11:52
AID_20251219T115215918871Z_WOVEEKELSNCO;OPEN;19-12-2025 11:52
AID_20251219T115215942545Z_6UAN2BQ55VF4;OPEN;19-12-2025 11:52
AID_20251219T115215962919Z_7HSWJLFPBREB;OPEN;19-12-2025 11:52
AID_20251219T115215981758Z_C3DSXGMJTBHS;OPEN;19-12-2025 11:52
AID_20251219T115216004389Z_RTJE74BW2JCD;OPEN;19-12-2025 11:52
AID_20251219T115216024860Z_LDQQ5IFUEFCH;OPEN;19-12-2025 11:52
AID_20251219T115216043647Z_V6OJJO4EMJEQ;OPEN;19-12-2025 11:52
AID_20251219T115216063438Z_YU5WT2BRCFDU;OPEN;19-12-2025 11:52
AID_20251219T115216084469Z_A2PUAG63SRCU;OPEN;19-12-2025 11:52
AID_20251219T115216104495Z_3RA52YDFWNEH;OPEN;19-12-2025 11:52
AID_20251219T115216123758Z_JIMN6R7ALREP;OPEN;19-12-2025 11:52
AID_20251219T115216144472Z_MYJ7YE67OFEF;OPEN;19-12-2025 11:52
AID_20251219T115216162526Z_7QZJFTMZEJHG;OPEN;19-12-2025 11:52
AID_20251219T115216182243Z_3PAKDRJIPFGI;OPEN;19-12-2025 11:52
AID_20251219T115216206952Z_AV6KAGJIRNDF;OPEN;19-12-2025 11:52
AID_20251219T115216300466Z_MM22TBFVWJGW;OPEN;19-12-2025 11:52
AID_20251219T115216355442Z_SWIVE7SBHNEF;OPEN;19-12-2025 11:52
AID_20251219T115216408315Z_4MIVQFK2GBD4;OPEN;19-12-2025 11:52
AID_20251219T115216429999Z_KDJMESJ3P5GL;OPEN;19-12-2025 11:52
AID_20251219T115216451063Z_S3SMYZI6DVBA;OPEN;19-12-2025 11:52
AID_20251219T115216469008Z_PVZY4YPY2JH3;OPEN;19-12-2025 11:52
AID_20251219T115216490851Z_ER7BXO5WF5AU;OPEN;19-12-2025 11:52
AID_20251219T115216509586Z_FWZ6R5ZHJJAR;OPEN;19-12-2025 11:52
AID_20251219T115216527855Z_SHXTTVAIJRAX;OPEN;19-12-2025 11:52
AID_20251219T115216547085Z_PK67O5UDK5B7;OPEN;19-12-2025 11:52
AID_20251219T115216569895Z_SHDL4GA7KFHU;OPEN;19-12-2025 11:52
AID_20251219T115216590002Z_547IR5GMHVGA;OPEN;19-12-2025 11:52
AID_20251219T115216609911Z_V6KFVLLHL5BS;OPEN;19-12-2025 11:52
AID_20251219T115216630139Z_CN7YID6RN5DG;OPEN;19-12-2025 11:52
AID_20251219T115216652042Z_HSDYOFU3X5AI;OPEN;19-12-2025 11:52
AID_20251219T115216672850Z_DRPAEQYDJVET;OPEN;19-12-2025 11:52
AID_20251219T115216694160Z_VUTNKKUNNRAF;OPEN;19-12-2025 11:52
