Connector_ID;Assignment_ID;Entity_ID;Status;Time_Stamp
CONN_20251219T115215651327Z_3CGL4ZCV2JFX;AID_20251219T115215649936Z_P25XPQTBSZEZ;SOB_20251217T163546138062Z_SGVGAWRLQRE4;ACTIVE;19-12-2025 11:52
CONN_20251219T115215651887Z_BVYBE2GMPJGL;AID_20251219T115215649936Z_P25XPQTBSZEZ;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215667056Z_FJPZMFSWTFBR;AID_20251219T115215665393Z_Y4UBJ7IEAJE6;SOB_20251217T163546138570Z_RICIOOM7DBBX;ACTIVE;19-12-2025 11:52
CONN_20251219T115215667895Z_I5JCSNWBGVEZ;AID_20251219T115215665393Z_Y4UBJ7IEAJE6;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215685211Z_PQ7KGM7FGZAO;AID_20251219T115215682990Z_VWKPSYLVRVF5;SOB_20251217T163546138841Z_UC64XLFVJVCZ;ACTIVE;19-12-2025 11:52
CONN_20251219T115215687094Z_5VXYPZSP4JAR;AID_20251219T115215682990Z_VWKPSYLVRVF5;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215703231Z_BOMDHCHCWZAI;AID_20251219T115215701291Z_HSAF3UA5NNAI;SOB_20251217T163546139045Z_YKVUDV2E75EU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215704643Z_7Y7GPGHEEVHA;AID_20251219T115215701291Z_HSAF3UA5NNAI;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215720841Z_YKURYXXCRRBR;AID_20251219T115215718747Z_3WEXE2Z42BEH;SOB_20251217T163546139217Z_GIDFBGU7UBAF;ACTIVE;19-12-2025 11:52
CONN_20251219T115215722247Z_DK2V5PW4LFFN;AID_20251219T115215718747Z_3WEXE2Z42BEH;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215739247Z_R4JENHWY3NBL;AID_20251219T115215736505Z_KUKGEUKYUNDV;SOB_20251217T163546139377Z_2IVNSUQTIFA6;ACTIVE;19-12-2025 11:52
CONN_20251219T115215740426Z_DJGK6G565VHG;AID_20251219T115215736505Z_KUKGEUKYUNDV;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215756028Z_IFVSCLE6RFEX;AID_20251219T115215753542Z_774DNFMASFF4;SOB_20251217T163546139528Z_YK43ZTRGW5FJ;ACTIVE;19-12-2025 11:52
CONN_20251219T115215757234Z_R2L3CWZ4NZDR;AID_20251219T115215753542Z_774DNFMASFF4;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215773913Z_DFE3S2A4KZBD;AID_20251219T115215771922Z_VFKSJDYZ4NAX;SOB_20251217T163546139688Z_C2J5CW7S3RFY;ACTIVE;19-12-2025 11:52
CONN_20251219T115215774896Z_FOMPOLOCIFGE;AID_20251219T115215771922Z_VFKSJDYZ4NAX;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215790074Z_PVV7XKZPPVCQ;AID_20251219T115215787635Z_TLX5Y537JRCV;SOB_20251217T163546139841Z_7FQEYI6LQFF2;ACTIVE;19-12-2025 11:52
CONN_20251219T115215791212Z_N4EF5PPRAVHH;AID_20251219T115215787635Z_TLX5Y537JRCV;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215807142Z_FTXKRV7GJFEC;AID_20251219T115215805027Z_QUATSC4ULJHQ;SOB_20251217T163546139994Z_DZRYB7AD3JHA;ACTIVE;19-12-2025 11:52
CONN_20251219T115215808144Z_GTKIAMJZVVDP;AID_20251219T115215805027Z_QUATSC4ULJHQ;SOB_20251217T163702189730Z_FJM75UHCGBDU;ACTIVE;19-12-2025 11:52
CONN_20251219T115215825171Z_XYNRITRCAFGI;AID_20251219T115215823321Z_MIZC37V3MBAU;SOB_20251217T163546140149Z_NQ733A4RGZEX;ACTIVE;19-12-2025 11:52
CONN_20251219T115215826330Z_INU2WZTVAZBV;AID_20251219T115215823321Z_MIZC37V3MBAU;SOB_20251217T163702190174Z_DPBYGRMIKZAY;ACTIVE;19-12-2025 11:52
CONN_20251219T115215842650Z_VOYJYI7VMJCU;AID_20251219T115215840224Z_ZYN73ABNWNB4;SOB_20251217T163546140301Z_2Z3JE2MHPJCX;ACTIVE;19-12-2025 11:52
CONN_20251219T115215844461Z_IRZ7SAXIWFHM;AID_20251219T115215840224Z_ZYN73ABNWNB4;SOB_20251217T163702190174Z_DPBYGRMIKZAY;ACTIVE;19-12-2025 11:52
CONN_20251219T115215862104Z_IOLONL4QNNHF;AID_20251219T115215859832Z_EFR6SSZ3EVGM;SOB_20251217T163546140501Z_ESEONTNU5VAI;ACTIVE;19-12-2025 11:52
CONN_20251219T115215863195Z_77IIK7ZZIFBD;AID_20251219T115215859832Z_EFR6SSZ3EVGM;SOB_20251217T163702190174Z_DPBYGRMIKZAY;ACTIVE;19-12-2025 11:52
CONN_20251219T115215879467Z_B5ASXSUCZ5DD;AID_20251219T115215877462Z_EU6X23YBBZEL;SOB_20251217T163546140711Z_7XYTJMEAXFDG;ACTIVE;19-12-2025 11:52
CONN_20251219T115215880599Z_3HGBAPKLWZBI;AID_20251219T115215877462Z_EU6X23YBBZEL;SOB_20251217T163702190174Z_DPBYGRMIKZAY;ACTIVE;19-12-2025 11:52
CONN_20251219T115215900777Z_KUPT6MTWDJF5;AID_20251219T115215897416Z_IV3OUWRIRRCB;SOB_20251217T163546140963Z_SHAVY2PVTZFG;ACTIVE;19-12-2025 11:52
CONN_20251219T115215902599Z_6TNKEP4GZJHZ;AID_20251219T115215897416Z_IV3OUWRIRRCB;SOB_20251217T163702190174Z_DPBYGRMIKZAY;ACTIVE;19-12-2025 11:52
