ROI_ID;as_code;ring
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4190000000Y2980000000Z0;0
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4180000000Y2970000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4180000000Y2980000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4180000000Y2990000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4190000000Y2990000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4200000000Y2990000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4200000000Y2980000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4200000000Y2970000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4190000000Y2970000000Z0;1
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4170000000Y2960000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4170000000Y2970000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4170000000Y2980000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4170000000Y2990000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4170000000Y3000000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4180000000Y3000000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4190000000Y3000000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4200000000Y3000000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4210000000Y3000000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4210000000Y2990000000Z0;2
ROI_20251217T164700217021Z_I3LXJR7QENDK;TGB101_10kmX4210000000Y2980000000Z0;2
