SOB_ID;as_code;ring
SOB_20251217T163546138062Z_SGVGAWRLQRE4;TGB101_10mX4196610000Y2989080000Z0;0
SOB_20251217T163546138570Z_RICIOOM7DBBX;TGB101_10mX4197470000Y2988800000Z0;0
SOB_20251217T163546138841Z_UC64XLFVJVCZ;TGB101_10mX4196270000Y2989450000Z0;0
SOB_20251217T163546139045Z_YKVUDV2E75EU;TGB101_10mX4196540000Y2989430000Z0;0
SOB_20251217T163546139217Z_GIDFBGU7UBAF;TGB101_10mX4196770000Y2988540000Z0;0
SOB_20251217T163546139377Z_2IVNSUQTIFA6;TGB101_10mX4197530000Y2988360000Z0;0
SOB_20251217T163546139528Z_YK43ZTRGW5FJ;TGB101_10mX4195720000Y2991080000Z0;0
SOB_20251217T163546139688Z_C2J5CW7S3RFY;TGB101_10mX4196240000Y2990290000Z0;0
SOB_20251217T163546139841Z_7FQEYI6LQFF2;TGB101_10mX4197330000Y2988570000Z0;0
SOB_20251217T163546139994Z_DZRYB7AD3JHA;TGB101_10mX4199490000Y2989060000Z0;0
SOB_20251217T163546140149Z_NQ733A4RGZEX;TGB101_10mX4191850000Y2978970000Z0;0
SOB_20251217T163546140301Z_2Z3JE2MHPJCX;TGB101_10mX4196440000Y2990290000Z0;0
SOB_20251217T163546140501Z_ESEONTNU5VAI;TGB101_10mX4197620000Y2987520000Z0;0
SOB_20251217T163546140711Z_7XYTJMEAXFDG;TGB101_10mX4196640000Y2988930000Z0;0
SOB_20251217T163546140963Z_SHAVY2PVTZFG;TGB101_10mX4198730000Y2986540000Z0;0
SOB_20251217T163546141206Z_CZ4GUDS7CJDT;TGB101_10mX4196730000Y2987760000Z0;0
SOB_20251217T163546141434Z_H6RBAQOTCNBN;TGB101_10mX4197910000Y2988090000Z0;0
SOB_20251217T163546141621Z_OHDJEFNPSVHE;TGB101_10mX4197550000Y2988440000Z0;0
SOB_20251217T163546141776Z_5LTT5ZV4FZAE;TGB101_10mX4197250000Y2988470000Z0;0
SOB_20251217T163546141926Z_OC4CEHDWR5FV;TGB101_10mX4197010000Y2988840000Z0;0
SOB_20251217T163546142085Z_3Y45GBB3WRAG;TGB101_10mX4199330000Y2988970000Z0;0
SOB_20251217T163546142236Z_YMLJUG4IM5AC;TGB101_10mX4197670000Y2988360000Z0;0
SOB_20251217T163546142380Z_BNUXKQSC2FE7;TGB101_10mX4196270000Y2989520000Z0;0
SOB_20251217T163546142529Z_SQAUU54WKBCQ;TGB101_10mX4196120000Y2988950000Z0;0
SOB_20251217T163546142679Z_J4QDUGYXFNBI;TGB101_10mX4196060000Y2989650000Z0;0
SOB_20251217T163546142823Z_TMHFK5ZESBHZ;TGB101_10mX4194720000Y2990830000Z0;0
SOB_20251217T163546142986Z_MU5ENCSWFFBQ;TGB101_10mX4196170000Y2989600000Z0;0
SOB_20251217T163546143139Z_O56T45AOOFDE;TGB101_10mX4195280000Y2988680000Z0;0
SOB_20251217T163546143295Z_QROICQKS65BY;TGB101_10mX4196370000Y2989180000Z0;0
SOB_20251217T163546143455Z_NWFWLI5TJ5FI;TGB101_10mX4196510000Y2989120000Z0;0
SOB_20251217T163546143606Z_PRJ5OVRZSNDH;TGB101_10mX4197130000Y2988880000Z0;0
