as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_50mX4194550000Y2986150000Z0;8.2375963608;49.9743438038;8.237256239;49.9741136923;8.2372397097;49.9745631209;8.2379364858;49.9745739143;8.2379530086;49.9741244856;TGB101_100mX4194500000Y2986100000Z0
TGB101_50mX4196550000Y2989000000Z0;8.2645397801;50.0003897128;8.2641993468;50.0001596829;8.2641830568;50.0006091124;8.2648802166;50.0006197417;8.2648965001;50.0001703121;TGB101_100mX4196500000Y2989000000Z0
TGB101_50mX4194800000Y2979350000Z0;8.2433197572;49.9132747384;8.2429800353;49.9130446407;8.2429635912;49.9134940788;8.2436594824;49.9135048351;8.24367592;49.9130553969;TGB101_100mX4194800000Y2979300000Z0
TGB101_50mX4196700000Y2984050000Z0;8.2682398257;49.9559277072;8.2678996865;49.955697686;8.2678834539;49.9561471222;8.2685799682;49.9561577274;8.2685961943;49.955708291;TGB101_100mX4196700000Y2984000000Z0
TGB101_50mX4197200000Y2988700000Z0;8.273700043;49.9978309454;8.2733595839;49.9976009427;8.2733433811;49.998050374;8.2740405054;49.9980609471;8.2740567016;49.9976115157;TGB101_100mX4197200000Y2988700000Z0
TGB101_50mX4197150000Y2988300000Z0;8.273132558;49.9942249181;8.2727921269;49.9939949135;8.2727759207;49.9944443452;8.2734729924;49.9944549217;8.2734891921;49.9940054898;TGB101_100mX4197100000Y2988300000Z0
TGB101_50mX4197700000Y2988400000Z0;8.2807680653;49.9952398665;8.2804275905;49.9950098847;8.2804114554;49.9954593176;8.2811085433;49.9954698473;8.2811246719;49.9950204144;TGB101_100mX4197700000Y2988400000Z0
TGB101_50mX4195250000Y2979050000Z0;8.2496810474;49.9106747357;8.2493413133;49.9104446568;8.2493249301;49.9108940964;8.2500207848;49.9109048136;8.2500371616;49.910455374;TGB101_100mX4195200000Y2979000000Z0
TGB101_50mX4200750000Y2988400000Z0;8.3232907464;49.9958742369;8.3229500638;49.9956443818;8.3229343274;49.9960938215;8.3236314322;49.9961040909;8.3236471621;49.9956546511;TGB101_100mX4200700000Y2988400000Z0
TGB101_50mX4194250000Y2984850000Z0;8.233846293;49.9625938192;8.2335062715;49.9623636959;8.2334897131;49.9628131254;8.2341863178;49.9628239414;8.2342028697;49.9623745118;TGB101_100mX4194200000Y2984800000Z0
TGB101_50mX4194750000Y2979150000Z0;8.2426896559;49.9114662272;8.2423499496;49.9112361275;8.2423335005;49.9116855658;8.2430293654;49.9116963259;8.243045808;49.9112468875;TGB101_100mX4194700000Y2979100000Z0
TGB101_50mX4175100000Y2987400000Z0;7.9660978706;49.9810568947;7.9657590023;49.9808259771;7.9657399235;49.9812753552;7.9664367422;49.9812878113;7.9664558145;49.9808384331;TGB101_100mX4175100000Y2987400000Z0
TGB101_50mX4170450000Y2985700000Z0;7.9019644238;49.9646015645;7.9016259777;49.964370456;7.9016063077;49.9648198237;7.9023028732;49.9648326719;7.9023225367;49.9643833041;TGB101_100mX4170400000Y2985700000Z0
TGB101_50mX4196150000Y2989200000Z0;8.2588971775;50.0021022559;8.2585567592;50.0018722093;8.2585404154;50.0023216376;8.2592375991;50.0023323015;8.2592539364;50.0018828731;TGB101_100mX4196100000Y2989200000Z0
TGB101_50mX4197500000Y2986450000Z0;8.2786096018;49.9776697986;8.2782692606;49.9774398094;8.2782531142;49.9778892443;8.2789499462;49.9778997867;8.2789660861;49.9774503517;TGB101_100mX4197500000Y2986400000Z0
TGB101_50mX4196750000Y2988500000Z0;8.2674909953;49.995937893;8.2671505792;49.9957078716;8.2671343192;49.9961573022;8.2678314148;49.9961679133;8.2678476683;49.9957184826;TGB101_100mX4196700000Y2988500000Z0
TGB101_50mX4200200000Y2984300000Z0;8.3169174167;49.9589068376;8.3165770241;49.9586769615;8.3165612461;49.9591264054;8.3172578126;49.9591367126;8.317273584;49.9586872686;TGB101_100mX4200200000Y2984300000Z0
TGB101_50mX4197400000Y2988400000Z0;8.2765855625;49.9951766115;8.2762451082;49.9949466172;8.2762289339;49.9953960493;8.2769260201;49.9954066047;8.2769421879;49.9949571724;TGB101_100mX4197400000Y2988400000Z0
TGB101_50mX4192900000Y2990000000Z0;8.2133127587;50.008590809;8.2129725131;50.0083606271;8.2129557381;50.0088100467;8.2136530076;50.00882099;8.2136697761;50.0083715703;TGB101_100mX4192900000Y2990000000Z0
